Model,R2,Adjusted_R2,RMSE,MAE,CV_R2_Mean,CV_R2_Std
Random Forest,0.9194356150331251,0.9160787656595053,5.238939255450521,4.043830985915489,0.6645468360164999,0.11134542903516119
XGBoost,0.9125762233701941,0.9089335660106188,5.457410181072938,4.311547008030852,0.6515223366876066,0.07437838145968174
Ridge Regression,0.7793547321575055,0.7701611793307349,8.670000523713977,7.199805835376356,0.6505426741372615,0.09274221041127108
Linear Regression,0.7791365996496173,0.7699339579683514,8.674285097294833,7.195242096568357,0.6429383096516937,0.09687658349813516
Lasso Regression,0.7675828731855058,0.7578988262349019,8.89827613708507,7.403221449799493,0.6804018783805055,0.07505917239582453
